                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4576,                 3.5409,                 1.6792,                0.01947,                   0.55,                0.13137,                0.04242,                 1.3439,                 3.5615,                 2.1099,                      0,                      0,                      0
                      2,                  1.525,                 3.5271,                 1.6964,                0.02107,                  0.575,                0.15232,                0.04716,                  1.334,                 3.5604,                 2.0877,             9.2769e-06,             9.2769e-06,             9.2769e-06
                      3,                 1.4635,                 3.4633,                 1.6822,                0.02262,                    0.6,                0.12584,                0.04389,                 1.3256,                 3.5585,                 2.0523,             1.4887e-05,             1.4887e-05,             1.4887e-05
                      4,                 1.3667,                 3.4767,                 1.6227,                0.02669,                    0.7,                0.14495,                0.04933,                 1.3086,                 3.5572,                 1.9977,             1.6832e-05,             1.6832e-05,             1.6832e-05
                      5,                 1.3735,                 3.5278,                 1.6067,                0.02442,                  0.675,                0.14078,                0.05226,                 1.2843,                 3.5493,                 1.9613,              1.511e-05,              1.511e-05,              1.511e-05
                      6,                 1.3265,                 3.4352,                 1.5871,                0.02436,                  0.675,                0.16515,                0.05635,                 1.2849,                 3.5362,                 1.9452,             9.7212e-06,             9.7212e-06,             9.7212e-06
