                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.541,                 3.5546,                 1.7733,                0.01944,                   0.55,                0.13049,                0.04193,                   1.34,                  3.564,                 2.1066,                      0,                      0,                      0
                      2,                 1.5266,                 3.5657,                 1.7277,                0.02068,                  0.575,                0.15448,                0.04586,                 1.3387,                 3.5585,                  2.083,              1.089e-05,              1.089e-05,              1.089e-05
                      3,                 1.5357,                 3.5499,                  1.756,                0.02261,                    0.6,                0.14319,                0.05105,                  1.337,                 3.5593,                 2.0152,              2.134e-05,              2.134e-05,              2.134e-05
                      4,                 1.5136,                 3.5562,                 1.7335,                0.02666,                    0.7,                0.14428,                0.05261,                  1.288,                 3.5509,                  1.939,              3.135e-05,              3.135e-05,              3.135e-05
                      5,                 1.2839,                 3.5158,                 1.5876,                0.02438,                  0.675,                0.18152,                0.06135,                 1.2273,                 3.5333,                 1.8381,              4.092e-05,              4.092e-05,              4.092e-05
                      6,                 1.1683,                 3.4523,                 1.5059,                0.02858,                  0.775,                0.24027,                0.08385,                 1.1893,                 3.4911,                 1.7209,             5.0051e-05,             5.0051e-05,             5.0051e-05
                      7,                  1.034,                 3.3461,                 1.3784,                0.03006,                    0.8,                0.31547,                0.13867,                 1.1298,                 3.4246,                  1.571,             5.8741e-05,             5.8741e-05,             5.8741e-05
                      8,                0.93348,                 3.3382,                 1.3193,                0.02811,                    0.8,                0.38699,                0.17698,                 1.0603,                 3.3594,                  1.415,             6.6991e-05,             6.6991e-05,             6.6991e-05
                      9,                0.93307,                 3.2654,                 1.3136,                0.02696,                    0.8,                0.41831,                0.23404,                0.87129,                 3.2865,                 1.2389,             7.4801e-05,             7.4801e-05,             7.4801e-05
                     10,                 0.8179,                 3.1654,                 1.2166,                0.02653,                    0.8,                0.44529,                0.30347,                0.80056,                 3.2506,                 1.1703,             8.2172e-05,             8.2172e-05,             8.2172e-05
                     11,                 0.7971,                 3.1122,                 1.2044,                 0.0268,                    0.8,                0.47794,                0.35908,                0.74417,                 3.2326,                 1.1352,             8.9102e-05,             8.9102e-05,             8.9102e-05
