                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.541,                 3.5546,                 1.7733,                0.01944,                   0.55,                0.13049,                0.04193,                   1.34,                  3.564,                 2.1066,                      0,                      0,                      0
                      2,                 1.5266,                 3.5657,                 1.7277,                0.02051,                  0.575,                0.15282,                0.04539,                 1.3355,                 3.5609,                 2.0917,             7.4437e-06,             7.4437e-06,             7.4437e-06
                      3,                  1.549,                 3.5516,                 1.7666,                0.02072,                  0.575,                0.16238,                 0.0503,                 1.3321,                 3.5623,                 2.0691,             7.5548e-06,             7.5548e-06,             7.5548e-06
