                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5817,                 3.5287,                 1.7901,                0.01551,                   0.48,                0.20258,                0.05682,                  1.323,                  3.593,                 2.0876,                      0,                      0,                      0
                      2,                 1.4937,                 3.5601,                  1.728,                0.01687,                  0.505,                0.20461,                0.05636,                  1.298,                 3.5947,                 2.0654,             7.4437e-06,             7.4437e-06,             7.4437e-06
                      3,                 1.5578,                 3.5603,                 1.7556,                 0.0182,                   0.53,                0.12451,                0.05086,                 1.2783,                 3.5925,                 2.0413,             7.5548e-06,             7.5548e-06,             7.5548e-06
